datetime_local,FEM
2016-01-06 10:00:00,0.020307692307692308
2016-01-06 11:00:00,0.02591666666666667
2016-01-06 12:00:00,0.026250000000000006
2016-01-06 13:00:00,0.03230769230769231
2016-01-06 14:00:00,0.03207692307692308
2016-01-06 15:00:00,0.03266666666666667
2016-01-06 16:00:00,0.029333333333333336
2016-01-06 17:00:00,0.029916666666666675
2016-01-06 18:00:00,0.021083333333333332
2016-01-06 19:00:00,0.013583333333333336
2016-01-06 20:00:00,0.013000000000000003
2016-01-06 21:00:00,0.01475
2016-01-06 22:00:00,0.014090909090909093
2016-01-06 23:00:00,0.016800000000000002
2016-01-07 00:00:00,0.024000000000000004
2016-01-07 01:00:00,0.022166666666666668
2016-01-07 02:00:00,0.022666666666666665
2016-01-07 03:00:00,0.0235
2016-01-07 04:00:00,0.047
2016-01-07 05:00:00,0.022000000000000002
2016-01-07 06:00:00,0.022750000000000003
2016-01-07 07:00:00,0.011250000000000001
2016-01-07 08:00:00,0.0164
2016-01-07 09:00:00,0.028300000000000002
2016-01-07 10:00:00,0.0356
2016-01-07 11:00:00,0.0392
2016-01-07 12:00:00,0.040999999999999995
2016-01-07 13:00:00,0.03989999999999999
2016-01-07 14:00:00,0.0395
2016-01-07 15:00:00,0.03818181818181818
2016-01-07 16:00:00,0.034583333333333334
2016-01-07 17:00:00,0.030500000000000003
2016-01-07 18:00:00,0.027
2016-01-07 19:00:00,0.021916666666666668
2016-01-07 20:00:00,0.019416666666666665
2016-01-07 21:00:00,0.018000000000000002
2016-01-07 22:00:00,0.018909090909090907
2016-01-07 23:00:00,0.0235
2016-01-08 00:00:00,0.027000000000000007
2016-01-08 01:00:00,0.027500000000000007
2016-01-08 02:00:00,0.023250000000000003
2016-01-08 03:00:00,0.02275
2016-01-08 04:00:00,0.032
2016-01-08 05:00:00,0.010833333333333334
2016-01-08 06:00:00,0.009000000000000001
2016-01-08 07:00:00,0.0085
2016-01-08 08:00:00,0.014636363636363637
2016-01-08 09:00:00,0.018727272727272728
2016-01-08 10:00:00,0.023545454545454546
2016-01-08 11:00:00,0.029800000000000004
2016-01-08 12:00:00,0.03216666666666668
2016-01-08 13:00:00,0.035500000000000004
2016-01-08 14:00:00,0.037000000000000005
2016-01-08 15:00:00,0.03591666666666667
2016-01-08 16:00:00,0.03133333333333333
2016-01-08 17:00:00,0.024000000000000007
2016-01-08 18:00:00,0.015083333333333332
